inflammation	patient.info link
oesophagitis	https://patient.info/forums/discuss/browse/reflux-oesophagitis-1969
oophoritis	
optic neuritis	
orchitis	https://patient.info/forums/discuss/browse/testicular-pain-and-disorders-2248
osteitis	
osteoarthritis	https://patient.info/forums/discuss/browse/osteoarthritis-1632
osteomyelitis	https://patient.info/forums/discuss/browse/osteomyelitis-1648
otitis externa	https://patient.info/forums/discuss/browse/ear-problems-3342
otitis media	
pachymeningitis	
pancarditis	
pancolitis	
pancreatitis	https://patient.info/forums/discuss/browse/pancreatitis-and-pancreatic-disorders-1933
panniculitis	
panophthalmitis	
pansinusitis	
panuveitis	
papillitis	
parametritis	
parasitic meningitis	
parathyroiditis	
parotitis	
pars planitis	
pericarditis	https://patient.info/forums/discuss/browse/cardiovascular-disorders-1070
perichondritis	
periendocarditis	
perifolliculitis	
periodontitis	
periostitis	
periphlebitis	
peritonitis	
perivasculitis	
petrositis	
pharyngitis	
phlebitis	
pneumonitis	https://patient.info/forums/discuss/browse/pulmonary-fibrosis-1760
poliomyelitis	
polyangiitis	
polyarteritis	
polyarthritis	
posterior cyclitis	
posterior uveitis	
proctitis	
prostatitis	
pseudofolliculitis	
psoriatic arthritis	https://patient.info/forums/discuss/browse/psoriasis-and-psoriatic-arthritis-1737
pulpitis	
pyelitis	
pyelonephritis	https://patient.info/forums/discuss/browse/urinary-tract-infection-2367
pyeloureteritis	
pyomyositis	
radiodermatitis	
rectosigmoiditis	
retinitis	
retinochoroiditis	
retrobulbar neuritis	
rheumatoid arthritis	https://patient.info/forums/discuss/browse/rheumatoid-arthritis-1968
rhinitis	https://patient.info/forums/discuss/browse/rhinitis-1971
salpingitis	
scleritis episcleritis	https://patient.info/forums/discuss/browse/scleritis-and-episcleritis-2084
sialoadenitis	
sinusitis	https://patient.info/forums/discuss/browse/sinusitis-2076
stomatitis	
synovitis	
tenonitis	
tenosynovitis	
thromboangiitis	
thrombophlebitis	
thyroiditis	https://patient.info/forums/discuss/browse/thyroid-and-parathyroid-disorders-2244
tonsillitis	
tracheitis	
tracheobronchitis	
trigonitis	
tubotympanitis	
tympanitis	
ureteritis	
urethritis	https://patient.info/forums/discuss/browse/sexual-health-2124
urethrotrigonitis	
uveitis	
vaginitis	https://patient.info/forums/discuss/browse/atrophic-vaginitis-8
valvulitis	
vasculitis	https://patient.info/forums/discuss/browse/vasculitis-2442
vasitis	
vesiculitis	
vestibular neuronitis	
vitritis	
vulvitis	https://patient.info/forums/discuss/browse/candida-genital-421
vulvovaginitis	
